
======================================================================
EXECUTION SLIP — 2026-08-29
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (22) ===
  TEX@MIL | NRFI | Raw Edge: -11.24% | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  TEX@MIL | F5_ML_Away | Raw Edge: -5.95% | edge -1.923% below threshold
  TEX@MIL | F5_ML_Home | Raw Edge: +2.59% | edge 0.214% below threshold
  TEX@MIL | TT_Away_Over | Raw Edge: -6.26% | edge -2.043% below 1.0% floor
  TEX@MIL | TT_Home_Over | Raw Edge: -1.02% | edge -0.703% below 1.0% floor
  TEX@MIL | ML_Away | Raw Edge: -4.51% | edge -1.574% below 1.0% floor
  TEX@MIL | ML_Home | Raw Edge: +4.51% | edge 0.729% below 1.0% floor
  BAL@ATH | NRFI | Raw Edge: -9.70% | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  BAL@ATH | F5_ML_Away | Raw Edge: +5.29% | edge 0.903% below threshold
  BAL@ATH | F5_ML_Home | Raw Edge: -9.01% | edge -2.716% below threshold
  BAL@ATH | TT_Away_Over | Raw Edge: -4.42% | edge -1.57% below 1.0% floor
  BAL@ATH | TT_Home_Over | Raw Edge: -14.90% | edge -4.241% below 1.0% floor
  BAL@ATH | ML_Away | Raw Edge: +14.55% | Tier cap: model/market disagreement 14.6pt > 7pt -- Tier A withheld pending explanation; Rule71: mod
  BAL@ATH | ML_Home | Raw Edge: -14.82% | Rule71: model 27.7% vs PinVF 43.7% = 16.0% gap > 8%
  PHI@LAA | NRFI | Raw Edge: -12.79% | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  PHI@LAA | TT_Home_Over | Raw Edge: +3.87% | edge 0.545% below 1.0% floor

======================================================================
SLIP SUMMARY: Real=0 PriceMoved=0 Paper=22 Rejected=150
LIVE_GAME_BLOCKED: BOS@NYY, LAD@DET, CWS@MIN, PIT@STL, CIN@CHC, SEA@TOR, AZ@SF, MIA@WSH, KC@CLE, HOU@NYM, SD@TB, COL@ATL — pregame-only gate applied, 0 real-money bets from these games
======================================================================
======================================================================
